I0627 23:42:47.528621       1 serving.go:341] Generated self-signed cert (/tmp/apiserver.crt, /tmp/apiserver.key)
E0627 23:42:48.939785       1 scraper.go:139] "Failed to scrape node" err="Get \"https://129.82.208.173:10250/stats/summary?only_cpu_and_memory=true\": x509: cannot validate certificate for 129.82.208.173 because it doesn't contain any IP SANs" node="lattice-163"
E0627 23:42:48.943970       1 scraper.go:139] "Failed to scrape node" err="Get \"https://129.82.208.166:10250/stats/summary?only_cpu_and_memory=true\": x509: cannot validate certificate for 129.82.208.166 because it doesn't contain any IP SANs" node="lattice-156"
E0627 23:42:48.945960       1 scraper.go:139] "Failed to scrape node" err="Get \"https://129.82.208.174:10250/stats/summary?only_cpu_and_memory=true\": x509: cannot validate certificate for 129.82.208.174 because it doesn't contain any IP SANs" node="lattice-164"
I0627 23:42:48.963187       1 requestheader_controller.go:169] Starting RequestHeaderAuthRequestController
I0627 23:42:48.963211       1 configmap_cafile_content.go:202] Starting client-ca::kube-system::extension-apiserver-authentication::client-ca-file
I0627 23:42:48.963232       1 shared_informer.go:240] Waiting for caches to sync for client-ca::kube-system::extension-apiserver-authentication::client-ca-file
I0627 23:42:48.963218       1 shared_informer.go:240] Waiting for caches to sync for RequestHeaderAuthRequestController
I0627 23:42:48.963254       1 configmap_cafile_content.go:202] Starting client-ca::kube-system::extension-apiserver-authentication::requestheader-client-ca-file
I0627 23:42:48.963285       1 shared_informer.go:240] Waiting for caches to sync for client-ca::kube-system::extension-apiserver-authentication::requestheader-client-ca-file
I0627 23:42:48.963668       1 dynamic_serving_content.go:130] Starting serving-cert::/tmp/apiserver.crt::/tmp/apiserver.key
I0627 23:42:48.964358       1 secure_serving.go:197] Serving securely on [::]:443
I0627 23:42:48.964491       1 tlsconfig.go:240] Starting DynamicServingCertificateController
E0627 23:42:48.965349       1 scraper.go:139] "Failed to scrape node" err="Get \"https://129.82.208.180:10250/stats/summary?only_cpu_and_memory=true\": x509: cannot validate certificate for 129.82.208.180 because it doesn't contain any IP SANs" node="lattice-170"
E0627 23:42:48.975295       1 scraper.go:139] "Failed to scrape node" err="Get \"https://129.82.208.162:10250/stats/summary?only_cpu_and_memory=true\": x509: cannot validate certificate for 129.82.208.162 because it doesn't contain any IP SANs" node="lattice-152"
E0627 23:42:48.996558       1 scraper.go:139] "Failed to scrape node" err="Get \"https://129.82.208.175:10250/stats/summary?only_cpu_and_memory=true\": x509: cannot validate certificate for 129.82.208.175 because it doesn't contain any IP SANs" node="lattice-165"
E0627 23:42:48.997264       1 scraper.go:139] "Failed to scrape node" err="Get \"https://129.82.208.177:10250/stats/summary?only_cpu_and_memory=true\": x509: cannot validate certificate for 129.82.208.177 because it doesn't contain any IP SANs" node="lattice-167"
E0627 23:42:49.009888       1 scraper.go:139] "Failed to scrape node" err="Get \"https://129.82.208.164:10250/stats/summary?only_cpu_and_memory=true\": x509: cannot validate certificate for 129.82.208.164 because it doesn't contain any IP SANs" node="lattice-154"
E0627 23:42:49.011568       1 scraper.go:139] "Failed to scrape node" err="Get \"https://129.82.208.169:10250/stats/summary?only_cpu_and_memory=true\": x509: cannot validate certificate for 129.82.208.169 because it doesn't contain any IP SANs" node="lattice-159"
E0627 23:42:49.023073       1 scraper.go:139] "Failed to scrape node" err="Get \"https://129.82.208.161:10250/stats/summary?only_cpu_and_memory=true\": x509: cannot validate certificate for 129.82.208.161 because it doesn't contain any IP SANs" node="lattice-151"
E0627 23:42:49.025663       1 scraper.go:139] "Failed to scrape node" err="Get \"https://129.82.208.167:10250/stats/summary?only_cpu_and_memory=true\": x509: cannot validate certificate for 129.82.208.167 because it doesn't contain any IP SANs" node="lattice-157"
E0627 23:42:49.032945       1 scraper.go:139] "Failed to scrape node" err="Get \"https://129.82.208.184:10250/stats/summary?only_cpu_and_memory=true\": x509: cannot validate certificate for 129.82.208.184 because it doesn't contain any IP SANs" node="lattice-174"
E0627 23:42:49.043325       1 scraper.go:139] "Failed to scrape node" err="Get \"https://129.82.208.183:10250/stats/summary?only_cpu_and_memory=true\": x509: cannot validate certificate for 129.82.208.183 because it doesn't contain any IP SANs" node="lattice-173"
E0627 23:42:49.043364       1 scraper.go:139] "Failed to scrape node" err="Get \"https://129.82.208.171:10250/stats/summary?only_cpu_and_memory=true\": x509: cannot validate certificate for 129.82.208.171 because it doesn't contain any IP SANs" node="lattice-161"
E0627 23:42:49.050356       1 scraper.go:139] "Failed to scrape node" err="Get \"https://129.82.208.160:10250/stats/summary?only_cpu_and_memory=true\": x509: cannot validate certificate for 129.82.208.160 because it doesn't contain any IP SANs" node="lattice-150"
I0627 23:42:49.064514       1 shared_informer.go:247] Caches are synced for client-ca::kube-system::extension-apiserver-authentication::client-ca-file 
